# Contains label noise for the CIFAR100 dataset.
#
# Each row corresponds to a sample from the dataset and includes the
# real and corrupted labels.
#
# Noise Method: LABEL_NOISE_SYMMETRIC
# Noise Level: 80.0%
#
label,label_noisy
19,35
29,24
0,68
11,28
1,1
86,40
90,0
28,69
23,38
31,27
39,72
96,18
82,48
17,73
71,71
39,39
8,38
97,47
80,40
71,82
74,25
59,42
70,47
87,87
59,70
84,27
64,29
52,38
42,36
64,19
8,25
17,3
47,28
65,60
21,21
22,74
81,22
11,63
24,15
84,84
78,24
45,60
49,44
97,97
56,62
76,75
11,38
90,15
89,79
78,80
73,73
14,39
87,93
9,80
71,14
6,6
47,3
20,20
98,98
47,47
36,81
55,55
72,29
43,43
51,35
35,73
83,20
33,59
27,42
53,53
92,92
50,68
15,7
89,29
36,37
18,18
89,2
46,27
33,3
42,69
39,49
64,0
75,49
38,63
23,22
42,88
66,76
77,13
49,55
18,83
46,55
15,35
35,19
69,8
95,95
83,69
75,46
99,42
73,97
93,93
55,50
39,16
4,92
97,48
61,36
93,46
51,99
69,34
56,12
84,0
59,39
64,64
94,56
4,98
11,11
33,90
68,68
38,89
20,24
33,79
34,83
32,32
46,8
53,17
88,88
67,73
70,56
64,4
53,56
64,28
8,33
96,89
87,3
30,0
20,20
30,51
66,30
19,21
76,10
87,91
52,12
62,18
35,41
63,63
40,74
4,4
99,40
63,63
74,15
53,48
26,71
95,95
48,23
27,90
33,13
29,29
39,39
79,13
32,32
46,15
64,79
28,70
85,85
32,21
82,82
78,98
39,11
54,32
28,58
66,33
65,43
72,70
21,21
64,53
62,65
72,25
0,25
44,53
7,67
12,12
19,42
11,88
31,62
61,96
79,2
45,45
81,78
79,51
98,99
43,54
46,45
67,14
80,7
68,68
74,7
48,28
81,81
94,94
86,13
69,86
39,8
73,50
2,20
46,64
49,70
63,63
43,93
14,0
49,47
68,60
65,65
41,98
37,37
45,34
36,40
21,16
77,83
37,87
39,39
8,8
9,8
62,62
86,53
39,82
19,79
54,15
39,79
28,28
11,46
89,79
90,87
90,95
79,88
66,45
81,18
21,83
79,88
40,53
29,19
22,90
13,77
25,15
11,54
38,25
10,7
96,74
54,72
65,81
39,5
40,24
42,49
48,93
48,48
51,67
11,51
23,26
23,23
89,89
52,39
46,74
2,12
95,77
43,10
86,96
34,47
66,69
18,18
46,1
66,66
56,2
57,21
1,6
44,88
11,11
82,13
23,84
90,26
56,34
19,19
68,68
66,8
28,19
1,1
57,48
67,70
5,39
13,37
78,99
6,6
84,72
