# Contains label noise for the CIFAR100 dataset.
#
# Each row corresponds to a sample from the dataset and includes the
# real and corrupted labels.
#
# Noise Method: LABEL_NOISE_SYMMETRIC
# Noise Level: 80.0%
#
label,label_noisy
19,5
29,29
0,0
11,11
1,84
86,33
90,14
28,65
23,92
31,12
39,82
96,18
82,75
17,83
71,91
39,39
8,8
97,80
80,46
71,31
74,83
59,62
70,87
87,92
59,59
84,43
64,84
52,11
42,39
64,64
8,55
17,81
47,33
65,72
21,51
22,80
81,81
11,26
24,40
84,41
78,68
45,87
49,38
97,38
56,56
76,61
11,24
90,28
89,62
78,22
73,33
14,27
87,87
9,50
71,71
6,77
47,55
20,14
98,4
47,4
36,90
55,56
72,72
43,35
51,72
35,80
83,96
33,0
27,85
53,36
92,14
50,60
15,79
89,96
36,56
18,18
89,86
46,86
33,99
42,1
39,10
64,99
75,75
38,38
23,23
42,42
66,67
77,81
49,49
18,22
46,2
15,89
35,42
69,69
95,19
83,83
75,72
99,60
73,63
93,2
55,69
39,39
4,10
97,56
61,61
93,93
51,36
69,50
56,5
84,84
59,0
64,73
94,57
4,4
11,11
33,87
68,62
38,38
20,33
33,13
34,25
32,8
46,46
53,0
88,41
67,83
70,29
64,76
53,97
64,99
8,8
96,95
87,83
30,30
20,27
30,6
66,23
19,52
76,43
87,32
52,67
62,79
35,35
63,71
40,45
4,2
99,99
63,60
74,80
53,53
26,66
95,64
48,90
27,92
33,76
29,19
39,39
79,23
32,14
46,27
64,99
28,42
85,77
32,32
82,11
78,78
39,34
54,99
28,80
66,66
65,65
72,28
21,60
64,54
62,58
72,52
0,18
44,16
7,7
12,81
19,50
11,11
31,84
61,61
79,79
45,45
81,75
79,16
98,74
43,18
46,62
67,76
80,93
68,68
74,74
48,48
81,81
94,38
86,75
69,45
39,26
73,66
2,53
46,9
49,39
63,63
43,34
14,14
49,64
68,68
65,61
41,65
37,72
45,68
36,54
21,66
77,73
37,65
39,31
8,73
9,9
62,62
86,79
39,42
19,70
54,57
39,39
28,64
11,68
89,46
90,30
90,23
79,14
66,57
81,17
21,85
79,30
40,70
29,29
22,90
13,24
25,2
11,99
38,92
10,10
96,78
54,34
65,65
39,39
40,89
42,62
48,38
48,66
51,51
11,11
23,22
23,60
89,78
52,52
46,72
2,29
95,95
43,75
86,45
34,25
66,80
18,88
46,8
66,96
56,45
57,92
1,21
44,47
11,53
82,7
23,23
90,84
56,28
19,98
68,73
66,4
28,28
1,96
57,8
67,19
5,93
13,92
78,41
6,92
84,65
7,47
41,58
65,46
80,48
12,83
50,47
63,63
26,27
8,8
53,69
60,22
99,25
97,13
85,85
0,26
78,8
31,31
10,64
2,2
7,62
43,41
83,51
97,70
91,20
82,66
28,63
42,12
0,74
82,43
5,71
68,65
60,71
30,30
98,72
82,42
20,22
64,51
66,61
10,57
75,63
54,74
57,25
87,14
66,44
66,50
73,65
54,55
88,88
42,48
37,84
80,1
87,51
3,38
29,67
43,43
12,12
73,73
96,30
23,15
96,55
84,96
19,17
62,23
0,40
21,94
11,64
36,95
64,21
76,53
60,92
3,39
80,90
82,67
79,79
26,40
65,65
72,18
11,80
15,15
31,31
48,48
12,7
91,43
