# Contains label noise for the CIFAR100 dataset.
#
# Each row corresponds to a sample from the dataset and includes the
# real and corrupted labels.
#
# Noise Method: LABEL_NOISE_SYMMETRIC
# Noise Level: 40.0%
#
label,label_noisy
19,19
29,29
0,0
11,11
1,1
86,86
90,90
28,67
23,23
31,17
39,39
96,96
82,9
17,17
71,72
39,39
8,8
97,97
80,80
71,14
74,48
59,59
70,92
87,87
59,59
84,84
64,66
52,79
42,98
64,25
8,8
17,17
47,53
65,55
21,31
22,22
81,81
11,58
24,23
84,87
78,78
45,45
49,49
97,97
56,56
76,65
11,11
90,90
89,89
78,11
73,48
14,14
87,55
9,9
71,83
6,6
47,97
20,2
98,98
47,59
36,36
55,55
72,72
43,62
51,51
35,8
83,83
33,33
27,34
53,34
92,92
50,50
15,15
89,89
36,7
18,79
89,89
46,37
33,33
42,42
39,40
64,64
75,75
38,38
23,33
42,42
66,66
77,77
49,49
18,43
46,78
15,15
35,35
69,39
95,39
83,83
75,75
99,53
73,73
93,93
55,55
39,42
4,80
97,97
61,61
93,78
51,54
69,69
56,56
84,84
59,59
64,64
94,94
4,4
11,11
33,50
68,68
38,38
20,20
33,3
34,34
32,29
46,46
53,53
88,71
67,67
70,70
64,64
53,53
64,64
8,8
96,99
87,87
30,66
20,20
30,30
66,66
19,19
76,76
87,71
52,52
62,62
35,35
63,41
40,40
4,4
99,99
63,63
74,74
53,53
26,96
95,95
48,48
27,82
33,10
29,63
39,39
79,22
32,32
46,62
64,52
28,28
85,85
32,32
82,82
78,16
39,39
54,43
28,28
66,66
65,39
72,72
21,21
64,64
62,62
72,72
0,0
44,31
7,7
12,12
19,41
11,68
31,31
61,61
79,79
45,45
81,35
79,79
98,68
43,96
46,47
67,67
80,80
68,27
74,74
48,48
81,81
94,13
86,86
69,98
39,39
73,73
2,74
46,36
49,49
63,14
43,43
14,14
49,49
68,68
65,65
41,1
37,37
45,87
36,36
21,21
77,52
37,37
39,73
8,8
9,9
62,27
86,86
39,39
19,23
54,54
39,39
28,44
11,11
89,89
90,84
90,48
79,11
66,10
81,81
21,21
79,79
40,40
29,91
22,67
13,7
25,4
11,11
38,38
10,16
96,96
54,90
65,65
39,39
40,40
42,42
48,48
48,37
51,86
11,11
23,23
23,29
89,89
52,52
46,49
2,2
95,95
43,93
86,86
34,34
66,66
18,39
46,81
66,3
56,56
57,12
1,1
44,51
11,22
82,47
23,74
90,90
56,36
19,26
68,68
66,83
28,28
1,52
57,57
67,1
5,60
13,13
78,78
6,6
84,37
7,7
41,41
65,65
80,80
12,35
50,50
63,63
26,81
8,8
53,58
60,6
99,99
97,97
85,85
0,7
78,78
31,20
10,10
2,66
7,7
43,43
83,80
97,97
91,91
82,82
28,28
42,28
0,0
82,82
5,5
68,68
60,93
30,1
98,98
82,82
20,34
64,65
66,66
10,40
75,75
54,54
57,57
87,87
66,66
66,66
73,7
54,79
88,93
42,42
37,37
80,61
87,87
3,12
29,32
43,90
12,12
73,87
96,96
23,23
96,38
84,84
19,19
62,70
0,27
21,21
11,11
36,20
64,64
76,76
60,60
3,61
80,80
82,82
79,79
26,26
65,65
72,72
11,67
15,19
31,31
48,48
12,12
91,83
71,18
87,87
77,77
15,86
7,7
58,58
51,51
55,55
85,85
2,2
3,3
89,33
10,42
3,3
11,11
20,20
4,91
48,42
27,27
48,48
7,2
67,67
3,8
65,65
56,56
9,9
44,13
95,65
46,96
83,83
40,40
58,9
87,87
59,59
18,18
48,34
5,5
88,84
26,93
21,21
24,26
53,53
68,68
49,49
89,89
96,31
92,51
7,7
13,13
99,31
49,49
22,22
56,56
67,67
13,54
97,97
6,64
19,19
76,79
65,18
9,9
71,71
63,63
71,95
18,3
55,91
34,34
18,18
0,0
56,5
23,76
75,62
70,70
78,78
45,45
66,66
91,71
25,25
58,58
90,6
29,68
68,68
35,35
54,5
77,94
97,97
0,73
70,70
75,75
60,81
65,65
5,5
58,58
82,43
49,49
61,61
28,28
44,44
56,56
82,82
61,23
43,40
20,94
38,38
85,66
87,37
49,49
85,85
24,26
7,2
88,86
40,40
38,38
72,72
56,65
4,4
81,81
98,98
97,22
14,14
46,14
23,23
89,19
86,53
83,83
54,93
27,27
41,28
96,96
1,75
81,4
79,79
30,30
17,53
14,3
67,84
20,82
54,39
92,23
33,33
57,22
65,65
49,49
71,40
59,16
85,85
22,38
31,31
85,87
17,17
42,42
62,62
26,26
60,0
27,19
57,57
19,22
97,87
88,88
10,10
31,31
23,47
84,84
74,74
63,63
94,63
77,77
90,97
60,60
5,50
1,1
61,61
95,78
32,16
95,55
57,10
32,32
23,72
39,39
45,87
41,41
69,68
89,89
45,67
47,52
57,57
11,11
48,48
74,74
2,2
11,13
95,72
50,50
37,90
59,59
71,71
84,93
89,89
84,84
70,70
16,1
71,81
8,84
48,48
31,31
98,41
32,32
2,2
74,74
62,62
71,71
90,89
34,34
51,51
0,33
12,95
26,43
57,47
62,74
57,57
31,62
65,65
32,36
16,34
35,97
98,98
11,11
87,87
38,38
52,52
89,56
40,40
76,76
7,7
54,54
76,76
30,30
59,59
84,84
3,3
91,91
46,63
65,25
43,27
49,49
6,6
33,94
5,27
14,14
77,77
44,25
68,68
82,50
94,94
66,66
73,73
56,47
89,89
53,53
22,22
69,56
77,98
84,51
20,54
98,16
4,4
69,69
79,79
40,28
45,85
1,1
56,39
65,65
51,51
5,95
80,21
54,54
92,92
4,4
23,23
60,60
81,2
77,77
73,73
98,98
0,76
14,99
9,9
44,44
27,27
8,8
43,43
74,74
46,46
94,5
86,96
30,7
61,43
57,57
11,6
81,49
25,25
81,81
70,8
29,29
27,27
3,49
71,71
53,53
48,60
19,41
80,71
57,57
19,19
59,12
25,51
56,56
74,50
32,32
98,1
37,45
13,13
45,71
12,59
80,96
64,64
16,16
17,3
24,77
30,30
25,59
96,83
37,37
5,66
98,98
31,61
94,94
5,5
29,77
66,66
51,10
6,6
67,67
50,70
68,68
27,54
62,62
89,54
5,95
11,11
13,26
66,39
55,12
15,14
62,62
74,48
31,31
93,39
59,66
1,1
97,97
32,90
39,21
41,41
62,62
71,71
70,70
98,48
41,41
42,42
70,70
3,3
35,20
90,72
22,22
50,50
61,61
66,66
92,92
53,53
12,71
84,85
33,95
57,57
93,93
79,79
69,96
53,53
9,67
19,36
6,6
20,20
76,14
5,20
98,98
92,35
78,78
93,93
79,79
21,21
51,51
74,74
76,63
56,38
75,75
27,27
22,13
37,37
16,16
72,44
81,81
36,36
48,48
13,13
56,56
70,70
0,87
63,86
90,90
53,27
29,29
64,18
2,2
83,83
63,11
89,89
14,14
66,66
95,95
65,65
85,0
5,5
7,52
58,58
61,61
42,42
59,59
37,37
12,12
42,46
66,66
71,71
40,40
63,72
45,88
19,16
33,33
55,55
26,26
0,0
60,60
72,72
4,4
63,63
76,76
46,46
64,64
96,67
69,12
64,58
75,75
33,33
36,59
26,26
62,57
18,18
48,57
50,50
36,36
26,96
28,72
71,71
76,73
45,30
52,52
65,65
59,59
41,41
69,69
15,15
87,87
50,71
11,11
71,71
36,36
84,84
73,73
46,23
83,83
12,16
79,79
54,54
50,50
75,69
72,5
37,37
91,71
19,19
