# Contains label noise for the CIFAR100 dataset.
#
# Each row corresponds to a sample from the dataset and includes the
# real and corrupted labels.
#
# Noise Method: LABEL_NOISE_SYMMETRIC
# Noise Level: 40.0%
#
label,label_noisy
19,95
29,51
0,0
11,11
1,1
86,86
90,90
28,28
23,23
31,11
39,39
96,64
82,82
17,17
71,71
39,75
8,71
97,97
80,9
71,71
74,74
59,66
70,36
87,99
59,86
84,84
64,22
52,75
42,42
64,64
8,8
17,17
47,47
65,65
21,21
22,22
81,81
11,11
24,74
84,84
78,25
45,7
49,49
97,97
56,2
76,11
11,90
90,90
89,89
78,43
73,73
14,28
87,87
9,9
71,71
6,6
47,47
20,82
98,98
47,47
36,36
55,9
72,79
43,17
51,51
35,35
83,81
33,33
27,27
53,78
92,23
50,50
15,15
89,89
36,36
18,18
89,44
46,46
33,33
42,42
39,86
64,89
75,75
38,38
23,54
42,42
66,66
77,77
49,49
18,76
46,46
15,15
35,62
69,69
95,68
83,6
75,48
99,99
73,40
93,52
55,55
39,79
4,4
97,97
61,2
93,14
51,51
69,98
56,92
84,94
59,99
64,64
94,94
4,62
11,11
33,54
68,68
38,38
20,36
33,33
34,34
32,32
46,46
53,53
88,24
67,67
70,70
64,68
53,53
64,64
8,8
96,96
87,35
30,30
20,10
30,30
66,66
19,96
76,48
87,87
52,96
62,6
35,27
63,43
40,68
4,4
99,99
63,65
74,74
53,53
26,26
95,95
48,48
27,27
33,33
29,29
39,39
79,79
32,33
46,87
64,59
28,28
85,71
32,99
82,82
78,57
39,0
54,54
28,28
66,66
65,84
72,28
21,21
64,70
62,97
72,72
0,0
44,44
7,7
12,69
19,92
11,26
31,31
61,11
79,79
45,87
81,40
79,33
98,98
43,43
46,46
67,67
80,80
68,68
74,66
48,48
81,2
94,94
86,76
69,69
39,39
73,73
2,63
46,46
49,49
63,63
43,43
14,14
49,89
68,8
65,47
41,49
37,37
45,45
36,33
21,66
77,77
37,37
39,39
8,8
9,9
62,62
86,81
39,39
19,19
54,54
39,39
28,92
11,17
89,70
90,27
90,90
