# Contains label noise for the CIFAR100 dataset.
#
# Each row corresponds to a sample from the dataset and includes the
# real and corrupted labels.
#
# Noise Method: LABEL_NOISE_SYMMETRIC
# Noise Level: 20.0%
#
label,label_noisy
19,64
29,29
0,0
11,11
1,1
86,86
90,90
28,48
23,23
31,1
39,86
96,96
82,82
17,17
71,71
39,39
8,8
97,99
80,94
71,71
74,74
59,59
70,70
87,87
59,59
84,84
64,64
52,3
42,5
64,64
8,8
17,17
47,47
65,5
21,21
22,22
81,81
11,11
24,24
84,84
78,60
45,45
49,49
97,97
56,56
76,86
11,11
90,90
89,89
78,78
73,73
14,14
87,87
9,9
71,71
6,6
47,77
20,20
98,98
47,47
36,36
55,55
72,72
43,43
51,41
35,35
83,83
33,33
27,7
53,53
92,58
50,50
15,15
89,38
36,36
18,18
89,89
46,46
33,0
42,42
39,39
64,64
75,8
38,38
23,34
42,42
66,66
77,77
49,49
18,18
46,79
15,15
35,35
69,69
95,95
83,83
75,75
99,99
73,73
93,93
55,1
39,35
4,4
97,97
61,61
93,69
51,30
69,69
56,69
84,84
59,23
64,8
94,94
4,4
11,11
33,49
68,68
38,38
20,20
33,66
34,34
32,32
46,46
53,53
88,88
67,67
70,70
64,64
53,53
64,64
8,8
96,96
87,79
30,30
20,76
30,30
66,66
19,19
76,24
87,87
52,52
62,62
35,35
63,63
40,40
4,4
99,99
63,63
74,74
53,77
26,0
95,95
48,48
27,27
33,33
29,29
39,39
79,79
32,32
46,10
64,64
28,28
85,85
32,32
82,82
78,78
39,39
54,54
28,66
66,66
65,65
72,72
21,21
64,64
62,62
72,72
0,0
44,44
7,7
12,12
19,19
11,11
31,31
61,61
79,29
45,45
81,60
79,79
98,98
43,25
46,46
67,92
80,80
68,35
74,74
48,48
81,81
94,94
86,41
69,69
39,39
73,59
2,2
46,46
49,49
63,63
43,43
14,46
49,49
68,68
65,65
41,41
37,37
45,45
36,36
21,45
77,77
37,37
39,39
8,8
9,93
62,62
86,86
39,39
19,19
54,54
39,39
28,28
11,11
89,89
90,30
90,90
79,79
66,66
81,81
21,21
79,79
40,40
29,29
22,22
13,13
25,25
11,60
38,83
10,47
96,96
54,54
65,65
39,39
40,40
42,42
48,48
48,48
51,51
11,11
23,23
23,23
89,89
52,17
46,46
2,2
95,25
43,43
86,86
34,34
66,66
18,18
46,46
66,66
56,56
57,57
1,1
44,44
11,81
82,52
23,23
90,90
56,93
19,19
68,68
66,66
28,28
1,1
57,57
67,67
5,22
13,13
78,78
6,6
84,46
7,7
41,41
65,65
80,80
12,12
50,50
63,63
26,26
8,8
53,53
60,60
99,99
97,97
85,70
0,0
78,78
31,23
10,10
2,2
7,7
43,43
83,83
97,97
91,91
82,82
28,28
42,42
0,0
82,65
5,94
68,68
60,60
30,30
98,98
82,82
20,20
64,64
66,24
10,82
75,75
54,54
57,57
87,87
66,66
66,66
73,73
54,54
88,92
42,42
37,37
80,80
87,87
3,3
29,99
43,43
12,35
73,37
96,96
23,23
96,88
84,84
19,19
62,62
0,0
21,25
11,11
36,88
64,64
76,76
60,60
3,3
80,80
82,82
79,79
26,26
65,59
72,72
11,11
15,15
31,31
48,48
12,12
91,74
71,71
87,87
77,77
15,15
7,7
58,58
51,51
55,55
85,85
2,2
3,3
89,89
10,10
3,12
11,11
20,20
4,76
48,48
27,66
48,48
7,12
67,16
3,3
65,35
56,58
9,9
44,44
95,95
46,46
83,83
40,40
58,58
87,87
59,59
18,18
48,48
5,5
88,7
26,70
21,21
24,75
53,53
68,68
49,49
89,89
96,80
92,92
7,7
13,13
99,99
49,49
22,22
56,70
67,67
13,13
97,97
6,6
19,19
76,94
65,65
9,9
71,71
63,63
71,71
18,18
55,69
34,34
18,18
0,0
56,56
23,39
75,75
70,70
78,78
45,93
66,66
91,91
25,25
58,58
90,90
29,29
68,68
35,35
54,7
77,90
97,97
0,0
70,50
75,18
60,60
65,63
5,5
58,58
82,49
49,49
61,61
28,28
44,44
56,56
82,82
61,61
43,43
20,20
38,38
85,85
87,87
49,49
85,85
24,24
7,7
88,88
40,92
38,38
72,98
56,56
4,4
81,81
98,98
97,97
14,14
46,62
23,23
89,89
86,86
83,83
54,54
27,27
41,41
96,96
1,13
81,49
79,87
30,30
17,17
14,10
67,67
20,34
54,54
92,92
33,33
57,57
65,89
49,49
71,71
59,59
85,85
22,22
31,31
85,85
17,17
42,42
62,86
26,26
60,60
27,27
57,57
19,19
97,97
88,88
10,10
31,28
23,83
84,84
74,12
63,40
94,94
77,50
90,90
60,60
5,5
1,1
61,17
95,95
32,32
95,95
57,57
32,70
23,23
39,39
45,45
41,41
69,69
89,89
45,45
47,47
57,57
11,11
48,48
74,74
2,2
11,11
95,95
50,50
37,37
59,59
71,71
84,84
89,89
84,84
70,65
16,16
71,71
8,8
48,48
31,31
98,98
32,32
2,2
74,74
62,62
71,71
90,90
34,42
51,51
0,0
12,30
26,26
57,57
62,62
57,57
31,31
65,65
32,32
16,16
35,35
98,98
11,11
87,87
38,90
52,52
89,89
40,48
76,76
7,52
54,54
76,76
30,30
59,59
84,84
3,3
91,91
46,46
65,65
43,43
49,49
6,6
33,33
5,5
14,80
77,22
44,93
68,68
82,82
94,94
66,66
73,73
56,56
89,89
