# List of configurations
LR,Model,NoiseMethod,NoiseLevel,NoiseLevelIndex,TrialIndex,Technique,CCPickCleans,OptimizerFE,OptimizerIF,SGDDecay,SGDMomentum,Scheduler,Loss,Dataset,SamplesPerLabel,Iterations,LrSwitchIteration,AsifStartEpoch,IFFETrainLayers,IFHeads,RandomIFHeads,SharedIFLayers,IFReversePrivate,IFReversePublic,ClassPickCleansStartEpoch,ClassPickCleans,BadLabelPickingFreq,BadLabelPickingSampleCount,BadLabelPickingCycleCount,UseAugmentation,UseDGR,AsifLossCoef,PHuberTau
0.1,nishi_resnet18,none,0,0,0,phuber,False,SGD,SGD,5e-4,0.9,phuber,ce,CIFAR10,0,78200,78200,0,0,"",10,2,False,False,19,none,10,1000,0,False,True,1.0,2
0.1,nishi_resnet18,none,0,0,1,phuber,False,SGD,SGD,5e-4,0.9,phuber,ce,CIFAR10,0,78200,78200,0,0,"",10,2,False,False,19,none,10,1000,0,False,True,1.0,2
0.1,nishi_resnet18,none,0,0,2,phuber,False,SGD,SGD,5e-4,0.9,phuber,ce,CIFAR10,0,78200,78200,0,0,"",10,2,False,False,19,none,10,1000,0,False,True,1.0,2
0.1,nishi_resnet18,sym,20,0,0,phuber,False,SGD,SGD,5e-4,0.9,phuber,ce,CIFAR10,0,78200,78200,0,0,"",10,2,False,False,19,none,10,1000,0,False,True,1.0,2
0.1,nishi_resnet18,sym,20,1,1,phuber,False,SGD,SGD,5e-4,0.9,phuber,ce,CIFAR10,0,78200,78200,0,0,"",10,2,False,False,19,none,10,1000,0,False,True,1.0,2
0.1,nishi_resnet18,sym,20,2,2,phuber,False,SGD,SGD,5e-4,0.9,phuber,ce,CIFAR10,0,78200,78200,0,0,"",10,2,False,False,19,none,10,1000,0,False,True,1.0,2
0.1,nishi_resnet18,instance,20,0,0,phuber,False,SGD,SGD,5e-4,0.9,phuber,ce,CIFAR10,0,78200,78200,0,0,"",10,2,False,False,19,none,10,1000,0,False,True,1.0,2
0.1,nishi_resnet18,instance,20,0,1,phuber,False,SGD,SGD,5e-4,0.9,phuber,ce,CIFAR10,0,78200,78200,0,0,"",10,2,False,False,19,none,10,1000,0,False,True,1.0,2
0.1,nishi_resnet18,instance,20,0,2,phuber,False,SGD,SGD,5e-4,0.9,phuber,ce,CIFAR10,0,78200,78200,0,0,"",10,2,False,False,19,none,10,1000,0,False,True,1.0,2
0.1,nishi_resnet18,sym,40,0,0,phuber,False,SGD,SGD,5e-4,0.9,phuber,ce,CIFAR10,0,78200,78200,0,0,"",10,2,False,False,19,none,10,1000,0,False,True,1.0,2
0.1,nishi_resnet18,sym,40,1,1,phuber,False,SGD,SGD,5e-4,0.9,phuber,ce,CIFAR10,0,78200,78200,0,0,"",10,2,False,False,19,none,10,1000,0,False,True,1.0,2
0.1,nishi_resnet18,sym,40,2,2,phuber,False,SGD,SGD,5e-4,0.9,phuber,ce,CIFAR10,0,78200,78200,0,0,"",10,2,False,False,19,none,10,1000,0,False,True,1.0,2
0.1,nishi_resnet18,instance,40,0,0,phuber,False,SGD,SGD,5e-4,0.9,phuber,ce,CIFAR10,0,78200,78200,0,0,"",10,2,False,False,19,none,10,1000,0,False,True,1.0,2
0.1,nishi_resnet18,instance,40,0,1,phuber,False,SGD,SGD,5e-4,0.9,phuber,ce,CIFAR10,0,78200,78200,0,0,"",10,2,False,False,19,none,10,1000,0,False,True,1.0,2
0.1,nishi_resnet18,instance,40,0,2,phuber,False,SGD,SGD,5e-4,0.9,phuber,ce,CIFAR10,0,78200,78200,0,0,"",10,2,False,False,19,none,10,1000,0,False,True,1.0,2
0.1,nishi_resnet18,sym,60,0,0,phuber,False,SGD,SGD,5e-4,0.9,phuber,ce,CIFAR10,0,78200,78200,0,0,"",10,2,False,False,19,none,10,1000,0,False,True,1.0,2
0.1,nishi_resnet18,sym,60,1,1,phuber,False,SGD,SGD,5e-4,0.9,phuber,ce,CIFAR10,0,78200,78200,0,0,"",10,2,False,False,19,none,10,1000,0,False,True,1.0,2
0.1,nishi_resnet18,sym,60,2,2,phuber,False,SGD,SGD,5e-4,0.9,phuber,ce,CIFAR10,0,78200,78200,0,0,"",10,2,False,False,19,none,10,1000,0,False,True,1.0,2
0.1,nishi_resnet18,instance,60,0,0,phuber,False,SGD,SGD,5e-4,0.9,phuber,ce,CIFAR10,0,78200,78200,0,0,"",10,2,False,False,19,none,10,1000,0,False,True,1.0,2
0.1,nishi_resnet18,instance,60,0,1,phuber,False,SGD,SGD,5e-4,0.9,phuber,ce,CIFAR10,0,78200,78200,0,0,"",10,2,False,False,19,none,10,1000,0,False,True,1.0,2
0.1,nishi_resnet18,instance,60,0,2,phuber,False,SGD,SGD,5e-4,0.9,phuber,ce,CIFAR10,0,78200,78200,0,0,"",10,2,False,False,19,none,10,1000,0,False,True,1.0,2
